year,state_name,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,rape_final
1984,Tennessee,4717000,21010,394,7867,10862,162462,53002,92176,17284,513.9843458769354
1984,Texas,15989000,80737,2093,28540,42761,883391,266074,529518,87799,2530.265796894752
1984,Utah,1652000,4035,47,958,2694,74703,14176,56782,3745,157.21789321789322
1984,Virginia,5636000,16660,434,5765,8958,196581,47436,138808,10337,499.2647396868787
1984,Vermont,530000,769,12,122,530,20261,5387,14054,820,32.46980115220219
1984,Washington,4349000,17676,202,5247,10051,247687,74021,162905,10761,535.997090086085
1984,Wisconsin,4766000,9367,117,3167,5293,189484,39755,138526,11203,309.3253949084585
1984,West Virginia,1952000,3283,86,744,2148,42313,12649,26296,3368,128.43608210298882
1984,Wyoming,511000,1237,17,118,995,17582,3279,13518,785,38.28531598513011
1985,TOTAL,237923795,1327767,18976,497874,723246,11102590,3073348,6926380,1102862,26212.653813769102
1985,Alaska,521000,3031,51,484,2094,27588,6209,18220,3159,182.18796116504853
1985,Alabama,4021000,18398,396,4237,12686,140115,41612,88108,10395,326.6596541067624
1985,Arkansas,2359000,8199,187,1617,5709,76372,22207,49957,4208,302.08957986303903
